time,color
70.409,HARD
70.411,MEDIUM
70.41499999999999,MEDIUM
70.416,MEDIUM
70.418,MEDIUM
70.419,MEDIUM
70.42,HARD
70.422,HARD
70.423,HARD
70.426,HARD
70.42699999999999,HARD
70.428,MEDIUM
70.429,HARD
70.43,HARD
70.431,HARD
70.432,HARD
70.43299999999999,MEDIUM
70.435,HARD
70.436,HARD
70.439,MEDIUM
70.441,MEDIUM
70.444,HARD
70.446,HARD
70.447,HARD
70.44800000000001,HARD
70.449,HARD
70.451,HARD
70.453,HARD
70.45400000000001,SOFT
70.455,HARD
70.456,MEDIUM
70.457,HARD
70.459,MEDIUM
70.46000000000001,HARD
70.461,HARD
70.462,HARD
70.463,HARD
70.465,HARD
70.466,MEDIUM
70.467,HARD
70.468,HARD
70.469,HARD
70.47,HARD
70.472,HARD
70.476,HARD
70.477,HARD
70.478,HARD
70.479,HARD
70.48,HARD
70.481,HARD
70.482,MEDIUM
70.485,HARD
70.486,MEDIUM
70.487,HARD
70.488,MEDIUM
70.489,MEDIUM
70.49,HARD
70.491,HARD
70.492,MEDIUM
70.493,HARD
70.494,HARD
70.496,HARD
70.498,HARD
70.499,HARD
70.5,HARD
70.501,HARD
70.503,HARD
70.504,HARD
70.505,HARD
70.506,MEDIUM
70.507,HARD
70.508,HARD
70.509,HARD
70.51,HARD
70.511,MEDIUM
70.514,HARD
70.515,HARD
70.517,SOFT
70.518,MEDIUM
70.519,MEDIUM
70.521,MEDIUM
70.522,HARD
70.523,HARD
70.53,HARD
70.531,HARD
70.532,HARD
70.533,HARD
70.534,HARD
70.535,HARD
70.537,MEDIUM
70.538,HARD
70.539,MEDIUM
70.541,MEDIUM
70.54599999999999,HARD
70.548,HARD
70.549,HARD
70.551,HARD
70.55199999999999,HARD
70.553,HARD
70.554,MEDIUM
70.555,MEDIUM
70.556,HARD
70.557,HARD
70.55799999999999,HARD
70.559,MEDIUM
70.56,HARD
70.561,MEDIUM
70.563,HARD
70.566,MEDIUM
70.56700000000001,HARD
70.568,HARD
70.572,HARD
70.575,HARD
70.576,HARD
70.577,MEDIUM
70.57900000000001,HARD
70.582,HARD
70.583,HARD
70.584,HARD
70.586,HARD
70.588,HARD
70.589,SOFT
70.591,MEDIUM
70.592,HARD
70.593,HARD
70.594,MEDIUM
70.595,HARD
70.596,HARD
70.597,MEDIUM
70.598,SOFT
70.599,MEDIUM
70.6,HARD
70.601,MEDIUM
70.602,HARD
70.604,HARD
70.607,HARD
70.608,HARD
70.609,MEDIUM
70.612,HARD
70.614,MEDIUM
70.615,HARD
